"SCHD","FITNESS","TOT_CRSE_REGS","MODELS_BULIT"
"SCHD_398",2487.45833333333,7888,1000
"SCHD_C_4102",2411.00833333333,7888,7549
"SCHD_C_4801",2372.46666666667,7888,6224
"SCHD_C_204",2342.49166666667,7888,5957
"SCHD_C_2706",2287.28333333333,7888,5491
"SCHD_C_4401",2263.45,7888,5481
"SCHD_C_3544",2231.56666666667,7888,5305
"SCHD_C_3901",2195.90833333333,7888,5150
"SCHD_C_4603",2166.525,7888,5378
"SCHD_C_5855",2153.74166666667,7888,5176
"SCHD_C_3107",2137.725,7888,4947
"SCHD_C_2307",2118.05833333333,7888,4986
"SCHD_C_5105",2103.93333333333,7888,4495
"SCHD_C_4692",2090.975,7888,3777
"SCHD_M_308",2079.375,7888,3430
"SCHD_C_601",2068.60833333333,7888,2787
"SCHD_C_5706",2057.46666666667,7888,3372
"SCHD_C_6101",2046.46666666667,7888,3139
"SCHD_C_3015",2037.625,7888,3237
"SCHD_C_1502",2021.96666666667,7888,3059
"SCHD_C_2547",2010.425,7888,3089
"SCHD_C_2201",2005.25833333333,7888,2865
"SCHD_C_632",2000.2,7888,2432
"SCHD_C_6115",1993.04166666667,7888,2100
"SCHD_C_2201",1986.29166666667,7888,1943
"SCHD_C_1508",1980.13333333333,7888,2021
"SCHD_C_3104",1971.95833333333,7888,1891
"SCHD_C_6805",1964.45833333333,7888,1641
"SCHD_C_1927",1959.85833333333,7888,1428
"SCHD_C_3406",1953.16666666667,7888,1463
"SCHD_C_18",1950.73333333333,7888,1807
"SCHD_C_4211",1946.15,7888,1350
"SCHD_C_2702",1940.88333333333,7888,1488
"SCHD_C_2101",1937.38333333333,7888,1528
"SCHD_C_6301",1931.95833333333,7888,1600
"SCHD_C_4926",1927.625,7888,1333
"SCHD_C_1907",1926.125,7888,1061
"SCHD_C_6301",1920.775,7888,1294
"SCHD_C_2625",1915.4,7888,1352
"SCHD_C_808",1911.33333333333,7888,1352
"SCHD_C_3396",1907.69166666667,7888,1276
"SCHD_C_5802",1902.55,7888,1297
"SCHD_C_5266",1899.675,7888,1352
"SCHD_C_3100",1898.325,7888,1087
"SCHD_C_5319",1896.70833333333,7888,1079
"SCHD_C_6112",1890.875,7888,1103
"SCHD_C_6101",1890.375,7888,1158
"SCHD_C_1411",1887.60833333333,7888,1415
"SCHD_C_3903",1882.04166666667,7888,1288
"SCHD_C_1201",1876.75,7888,1560
"SCHD_C_6033",1871.675,7888,1483
"SCHD_C_43",1866.725,7888,1285
"SCHD_C_2201",1865.15,7888,1244
"SCHD_C_20",1864.9,7888,1084
"SCHD_C_2603",1862.48333333333,7888,1109
"SCHD_C_2802",1859.19166666667,7888,1204
"SCHD_C_645",1857.45,7888,1288
"SCHD_C_3107",1855.85833333333,7888,1294
"SCHD_C_3203",1855.36666666667,7888,1116
"SCHD_M_7",1853.95,7888,987
"SCHD_C_3206",1851.61666666667,7888,1022
"SCHD_C_6902",1849.53333333333,7888,1263
"SCHD_C_401",1849.28333333333,7888,1265
"SCHD_M_137",1848.575,7888,1048
"SCHD_C_5506",1845.73333333333,7888,1020
"SCHD_C_810",1844.11666666667,7888,1210
"SCHD_C_1205",1841.4,7888,1178
"SCHD_M_47",1840.36666666667,7888,1151
"SCHD_C_401",1836.7,7888,1012
"SCHD_C_5106",1834.68333333333,7888,1151
"SCHD_C_1084",1834.18333333333,7888,1147
"SCHD_1",1834.18333333333,7888,1004
"SCHD_1",1834.18333333333,7888,933
"SCHD_M_483",1833.71666666667,7888,973
"SCHD_C_1301",1832.96666666667,7888,1011
"SCHD_C_107",1832.85,7888,1070
"SCHD_C_5956",1828.175,7888,996
"SCHD_C_1428",1827.35,7888,1074
"SCHD_C_3909",1826.13333333333,7888,1369
"SCHD_C_101",1824.8,7888,1106
"SCHD_M_192",1820.96666666667,7888,1397
"SCHD_C_2601",1818.96666666667,7888,1387
"SCHD_C_1817",1817.55,7888,1284
"SCHD_1",1817.55,7888,1215
"SCHD_C_4809",1817.13333333333,7888,986
"SCHD_C_4214",1815.01666666667,7888,1076
"SCHD_C_136",1813.85,7888,1160
"SCHD_C_312",1813.76666666667,7888,1109
"SCHD_1",1813.76666666667,7888,918
"SCHD_1",1813.76666666667,7888,894
"SCHD_C_3604",1813.36666666667,7888,909
"SCHD_M_408",1812.93333333333,7888,919
"SCHD_C_201",1811.85,7888,926
"SCHD_C_1401",1811.03333333333,7888,942
"SCHD_1",1811.03333333333,7888,1050
"SCHD_M_330",1810.38333333333,7888,1021
"SCHD_C_1401",1809.46666666667,7888,1060
"SCHD_C_4501",1808.38333333333,7888,1093
"SCHD_1",1808.38333333333,7888,1112
"SCHD_C_345",1808.05,7888,1063
"SCHD_C_3880",1801.90833333333,7888,1067
"SCHD_1",1801.90833333333,7888,1080
"SCHD_1",1801.90833333333,7888,1033
"SCHD_C_1605",1800.40833333333,7888,1021
"SCHD_C_2101",1800.15833333333,7888,1029
"SCHD_1",1800.15833333333,7888,1058
"SCHD_C_1261",1799.90833333333,7888,1104
"SCHD_C_1601",1798.65833333333,7888,1065
"SCHD_C_605",1798.16666666667,7888,1092
"SCHD_M_193",1797.69166666667,7888,1066
"SCHD_1",1797.69166666667,7888,925
"SCHD_C_1890",1796.94166666667,7888,949
"SCHD_C_1601",1796.05833333333,7888,988
"SCHD_C_405",1795.93333333333,7888,952
"SCHD_1",1795.93333333333,7888,935
"SCHD_1",1795.93333333333,7888,866
"SCHD_1",1795.93333333333,7888,879
"SCHD_1",1795.93333333333,7888,897
"SCHD_1",1795.93333333333,7888,895
"SCHD_C_3969",1792.475,7888,909
"SCHD_C_401",1792.275,7888,972
"SCHD_1",1792.275,7888,1108
"SCHD_C_3109",1792.05833333333,7888,947
"SCHD_C_1207",1791.48333333333,7888,1055
"SCHD_M_68",1791.10833333333,7888,1100
"SCHD_M_269",1785.05,7888,973
"SCHD_C_6602",1783.35833333333,7888,1155
"SCHD_C_2222",1782.775,7888,1291
"SCHD_M_204",1782.10833333333,7888,1186
"SCHD_C_312",1781.69166666667,7888,1030
"SCHD_C_17",1781.525,7888,1053
"SCHD_1",1781.525,7888,994
"SCHD_1",1781.525,7888,836
"SCHD_1",1781.525,7888,839
"SCHD_1",1781.525,7888,855
"SCHD_1",1781.525,7888,877
"SCHD_1",1781.525,7888,918
"SCHD_M_342",1781.28333333333,7888,927
"SCHD_C_3101",1780.95,7888,962
"SCHD_1",1780.95,7888,1045
"SCHD_M_454",1780.19166666667,7888,998
"SCHD_C_1501",1779.61666666667,7888,916
"SCHD_C_504",1779.45,7888,961
"SCHD_1",1779.45,7888,929
"SCHD_1",1779.45,7888,827
"SCHD_1",1779.45,7888,822
"SCHD_1",1779.45,7888,813
"SCHD_C_3707",1779.36666666667,7888,832
"SCHD_1",1779.36666666667,7888,901
"SCHD_M_354",1778.05,7888,875
"SCHD_C_3801",1777.6,7888,824
"SCHD_1",1777.6,7888,899
"SCHD_1",1777.6,7888,789
"SCHD_1",1777.6,7888,720
"SCHD_1",1777.6,7888,755
"SCHD_1",1777.6,7888,783
"SCHD_M_264",1776.51666666667,7888,782
"SCHD_C_4801",1776.35,7888,788
"SCHD_C_3706",1775.225,7888,859
"SCHD_C_1801",1775.14166666667,7888,925
"SCHD_1",1775.14166666667,7888,832
"SCHD_1",1775.14166666667,7888,778
"SCHD_1",1775.14166666667,7888,765
"SCHD_1",1775.14166666667,7888,772
"SCHD_1",1775.14166666667,7888,770
"SCHD_1",1775.14166666667,7888,773
"SCHD_1",1775.14166666667,7888,767
"SCHD_1",1775.14166666667,7888,768
"SCHD_1",1775.14166666667,7888,758
"SCHD_1",1775.14166666667,7888,766
"SCHD_1",1775.14166666667,7888,762
"SCHD_1",1775.14166666667,7888,757
"SCHD_1",1775.14166666667,7888,769
"SCHD_1",1775.14166666667,7888,749
"SCHD_1",1775.14166666667,7888,763
"SCHD_1",1775.14166666667,7888,781
"SCHD_1",1775.14166666667,7888,791
"SCHD_1",1775.14166666667,7888,787
"SCHD_1",1775.14166666667,7888,794
"SCHD_1",1775.14166666667,7888,798
"SCHD_1",1775.14166666667,7888,797
"SCHD_1",1775.14166666667,7888,797
"SCHD_1",1775.14166666667,7888,777
"SCHD_1",1775.14166666667,7888,802
"SCHD_1",1775.14166666667,7888,783
"SCHD_1",1775.14166666667,7888,778
"SCHD_1",1775.14166666667,7888,785
"SCHD_1",1775.14166666667,7888,779
"SCHD_1",1775.14166666667,7888,790
"SCHD_1",1775.14166666667,7888,790
"SCHD_1",1775.14166666667,7888,820
"SCHD_C_5874",1775.1,7888,831
"SCHD_1",1775.1,7888,874
"SCHD_1",1775.1,7888,834
"SCHD_1",1775.1,7888,832
"SCHD_1",1775.1,7888,840
"SCHD_1",1775.1,7888,830
"SCHD_1",1775.1,7888,848
"SCHD_M_414",1774.15,7888,827
"SCHD_C_201",1772.15,7888,850
"SCHD_C_321",1772.1,7888,980
"SCHD_1",1772.1,7888,911
"SCHD_1",1772.1,7888,824
"SCHD_1",1772.1,7888,822
"SCHD_1",1772.1,7888,811
"SCHD_1",1772.1,7888,828
"SCHD_1",1772.1,7888,826
"SCHD_C_414",1771.26666666667,7888,850
"SCHD_M_3",1770.65,7888,973
"SCHD_C_226",1770.56666666667,7888,1037
"SCHD_C_904",1770.45,7888,963
"SCHD_C_2646",1769.19166666667,7888,982
"SCHD_C_2203",1768.9,7888,915
"SCHD_C_880",1767.61666666667,7888,1121
"SCHD_1",1767.61666666667,7888,906
"SCHD_1",1767.61666666667,7888,881
"SCHD_C_7",1767.36666666667,7888,940
"SCHD_1",1767.36666666667,7888,850
"SCHD_1",1767.36666666667,7888,792
"SCHD_1",1767.36666666667,7888,809
"SCHD_1",1767.36666666667,7888,799
"SCHD_1",1767.36666666667,7888,804
"SCHD_1",1767.36666666667,7888,812
"SCHD_1",1767.36666666667,7888,812
"SCHD_1",1767.36666666667,7888,803
"SCHD_1",1767.36666666667,7888,806
"SCHD_1",1767.36666666667,7888,834
"SCHD_C_4349",1767.03333333333,7888,822
"SCHD_1",1767.03333333333,7888,812
"SCHD_1",1767.03333333333,7888,803
"SCHD_1",1767.03333333333,7888,854
"SCHD_1",1767.03333333333,7888,842
"SCHD_1",1767.03333333333,7888,842
"SCHD_1",1767.03333333333,7888,853
"SCHD_1",1767.03333333333,7888,888
"SCHD_1",1767.03333333333,7888,918
"SCHD_C_6607",1766.825,7888,956
"SCHD_C_2001",1766.65833333333,7888,943
"SCHD_M_193",1764.70833333333,7888,913
"SCHD_C_6524",1764.04166666667,7888,912
"SCHD_C_417",1764,7888,939
"SCHD_C_638",1763.75,7888,894
"SCHD_1",1763.75,7888,808
"SCHD_1",1763.75,7888,768
"SCHD_1",1763.75,7888,795
"SCHD_1",1763.75,7888,799
"SCHD_1",1763.75,7888,828
"SCHD_1",1763.75,7888,888
"SCHD_1",1763.75,7888,833
"SCHD_1",1763.75,7888,828
